split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,params,cls_method,od_method,mvi_method,fs_method,os_method,mean_test_f1
444.0,560.0,512.0,508.0,622.0,2298.0,2182.0,2238.0,2212.0,2127.0,82.0,91.0,76.0,100.0,83.0,254.0,245.0,252.0,258.0,246.0,131.0,85.0,70.0,103.0,98.0,220.0,212.0,217.0,185.0,213.0,177.0,265.0,222.0,239.0,285.0,1147.0,1113.0,1166.0,1148.0,1079.0,0.6243386243386243,0.7507082152974505,0.7525423728813561,0.7019089574155652,0.7589880159786951,0.828757225433526,0.8296682817741333,0.8325598000714031,0.8382621394669587,0.8246083301490255,0.7446043165467626,0.8241758241758241,0.8340909090909091,0.7863157894736842,0.8336397058823529,0.8790507782597602,0.8781982942430704,0.8789052414149239,0.8835130160399685,0.8747612551159618,"{'cls__criterion': 'entropy', 'cls__max_depth': 14, 'cls__max_features': 'log2', 'cls__n_estimators': 100, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7176972371823382
434.0,552.0,513.0,514.0,621.0,2266.0,2158.0,2224.0,2191.0,2117.0,92.0,99.0,75.0,94.0,84.0,286.0,269.0,266.0,279.0,256.0,127.0,86.0,73.0,103.0,104.0,231.0,218.0,243.0,213.0,242.0,181.0,264.0,219.0,239.0,279.0,1136.0,1107.0,1140.0,1120.0,1050.0,0.6230636833046471,0.7405329593267883,0.7474402730375426,0.7081481481481482,0.7479892761394101,0.814628899247042,0.8196964087375047,0.8174973108641089,0.8199121522693996,0.8083140877598152,0.737410071942446,0.8151848151848152,0.8318181818181818,0.7926315789473685,0.8272058823529411,0.8680785914774177,0.8702025586353944,0.86857733023496,0.8706284512227189,0.8641200545702592,"{'cls__criterion': 'gini', 'cls__max_depth': 12, 'cls__max_features': 'log2', 'cls__n_estimators': 100, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7134348679913072
439.0,559.0,513.0,509.0,621.0,2293.0,2186.0,2245.0,2221.0,2129.0,87.0,92.0,75.0,99.0,84.0,259.0,241.0,245.0,249.0,244.0,138.0,87.0,70.0,104.0,98.0,219.0,215.0,216.0,189.0,216.0,170.0,263.0,222.0,238.0,285.0,1148.0,1110.0,1167.0,1144.0,1076.0,0.6017699115044248,0.7460992907801419,0.7538200339558574,0.7010309278350515,0.7579787234042554,0.8276856524873829,0.8295964125560539,0.835062611806798,0.839325018341893,0.8238897396630934,0.7302158273381295,0.8211788211788211,0.8352272727272727,0.7863157894736842,0.8327205882352942,0.8780301097218678,0.8784648187633263,0.8809708236509166,0.8848277675519327,0.8744884038199181,"{'cls__criterion': 'entropy', 'cls__max_depth': 14, 'cls__max_features': 'log2', 'cls__n_estimators': 200, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7121397774959461
433.0,557.0,513.0,507.0,619.0,2301.0,2185.0,2242.0,2220.0,2132.0,93.0,94.0,75.0,101.0,86.0,251.0,242.0,248.0,250.0,241.0,132.0,84.0,72.0,105.0,99.0,226.0,213.0,207.0,186.0,213.0,176.0,266.0,220.0,237.0,284.0,1141.0,1112.0,1176.0,1147.0,1079.0,0.6100519930675908,0.7492957746478873,0.7495741056218058,0.6970588235294118,0.754316069057105,0.8271112722000725,0.8301605076521089,0.8379052369077307,0.8402930402930403,0.8261868300153138,0.7302158273381295,0.8221778221778222,0.8329545454545455,0.783157894736842,0.8299632352941176,0.878285276856341,0.878731343283582,0.8825200103279112,0.8853536681567183,0.8761255115961801,"{'cls__criterion': 'gini', 'cls__max_depth': 14, 'cls__max_features': 'log2', 'cls__n_estimators': 100, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7120593531847602
433.0,558.0,512.0,508.0,617.0,2301.0,2192.0,2249.0,2222.0,2129.0,93.0,93.0,76.0,100.0,88.0,251.0,235.0,241.0,248.0,244.0,135.0,87.0,75.0,101.0,98.0,219.0,219.0,215.0,185.0,213.0,173.0,263.0,217.0,241.0,285.0,1148.0,1106.0,1168.0,1148.0,1079.0,0.6027874564459931,0.7450424929178469,0.7418803418803419,0.7057101024890191,0.7539682539682538,0.8300795372378886,0.8297074268567141,0.836676217765043,0.8413338219127886,0.8252390057361376,0.7266187050359713,0.8201798201798202,0.8284090909090909,0.7884210526315789,0.8290441176470589,0.8800714467976525,0.8789978678038379,0.8822618125484121,0.886142519063897,0.8753069577080491,"{'cls__criterion': 'gini', 'cls__max_depth': 14, 'cls__max_features': 'log2', 'cls__n_estimators': 200, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7098777295402909
438.0,557.0,507.0,510.0,621.0,2268.0,2168.0,2215.0,2203.0,2114.0,88.0,94.0,81.0,98.0,84.0,284.0,259.0,275.0,267.0,259.0,131.0,90.0,71.0,103.0,106.0,231.0,229.0,241.0,214.0,240.0,177.0,260.0,221.0,239.0,277.0,1136.0,1096.0,1142.0,1119.0,1052.0,0.6178010471204188,0.7386363636363636,0.7441077441077442,0.7039764359351989,0.7446236559139785,0.8152134912091855,0.817910447761194,0.8157142857142857,0.8230967267377712,0.8082981175566654,0.737410071942446,0.8161838161838162,0.8272727272727273,0.7884210526315789,0.8253676470588235,0.8685889257463638,0.8699360341151386,0.8667699457784663,0.8735209045490402,0.8638472032742156,"{'cls__criterion': 'gini', 'cls__max_depth': 12, 'cls__max_features': 'log2', 'cls__n_estimators': 200, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7098290493427408
443.0,549.0,506.0,508.0,618.0,2272.0,2164.0,2197.0,2180.0,2113.0,83.0,102.0,82.0,100.0,87.0,280.0,263.0,293.0,290.0,260.0,124.0,87.0,73.0,107.0,107.0,243.0,232.0,237.0,210.0,242.0,184.0,263.0,219.0,235.0,276.0,1124.0,1093.0,1146.0,1123.0,1050.0,0.64,0.7356643356643358,0.7386172006745363,0.6942392909896603,0.739946380697051,0.8112594731143992,0.8153674002237972,0.8121899362154501,0.8179169701383832,0.8070714834742506,0.7517985611510791,0.8111888111888111,0.8238636363636364,0.7821052631578947,0.8216911764705882,0.8665475886705792,0.8680703624733476,0.8631551768654789,0.8685248488035762,0.8630286493860846,"{'cls__criterion': 'entropy', 'cls__max_depth': 12, 'cls__max_features': 'log2', 'cls__n_estimators': 100, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7096934416051167
435.0,558.0,509.0,507.0,614.0,2265.0,2164.0,2208.0,2181.0,2106.0,91.0,93.0,79.0,101.0,91.0,287.0,263.0,282.0,289.0,267.0,130.0,89.0,71.0,107.0,106.0,243.0,234.0,231.0,214.0,235.0,178.0,261.0,221.0,235.0,277.0,1124.0,1091.0,1152.0,1119.0,1057.0,0.6169844020797228,0.7414772727272727,0.7466216216216217,0.6932153392330384,0.7376830892143806,0.8092152627789776,0.8144830160507651,0.8178913738019169,0.816490331995622,0.8081039755351683,0.7350119904076738,0.8181818181818182,0.8295454545454546,0.7810526315789473,0.8189338235294118,0.8647614187292677,0.8675373134328358,0.8675445391169636,0.8677359978963975,0.8630286493860846,"{'cls__criterion': 'entropy', 'cls__max_depth': 12, 'cls__max_features': 'log2', 'cls__n_estimators': 200, 'cls__random_state': 42, 'os__random_state': 42}",rf,none,simple,none,smote,0.7071963449752072
456.0,570.0,522.0,528.0,640.0,2354.0,2230.0,2292.0,2273.0,2185.0,70.0,81.0,66.0,80.0,65.0,198.0,197.0,198.0,197.0,188.0,149.0,99.0,78.0,123.0,124.0,269.0,250.0,259.0,235.0,269.0,159.0,251.0,214.0,219.0,259.0,1098.0,1075.0,1124.0,1098.0,1023.0,0.5921787709497206,0.7360703812316716,0.7482517482517482,0.6833073322932917,0.7326732673267328,0.8246338715734134,0.8278783211397767,0.8310536044362291,0.8356164383561644,0.8174190970834999,0.737410071942446,0.8201798201798202,0.8363636363636363,0.7863157894736842,0.8262867647058824,0.8808369482010717,0.880863539445629,0.882003614768913,0.8864054693662897,0.8753069577080491,"{'cls__criterion': 'entropy', 'cls__max_depth': 14, 'cls__max_features': 'log2', 'cls__n_estimators': 200, 'cls__random_state': 42}",rf,none,simple,none,none,0.698496300010633
448.0,566.0,519.0,526.0,635.0,2354.0,2229.0,2292.0,2270.0,2186.0,78.0,85.0,69.0,82.0,70.0,198.0,198.0,198.0,200.0,187.0,146.0,99.0,79.0,121.0,116.0,272.0,243.0,262.0,239.0,273.0,162.0,251.0,213.0,221.0,267.0,1095.0,1082.0,1121.0,1094.0,1019.0,0.5912408759124088,0.7317784256559766,0.7421602787456447,0.6852713178294574,0.7416666666666667,0.8233082706766917,0.8307101727447218,0.8297557364914877,0.8328892272554244,0.8158526821457165,0.7314148681055156,0.8161838161838162,0.8318181818181818,0.7863157894736842,0.8290441176470589,0.8800714467976525,0.8824626865671642,0.8812290214304157,0.8845648172495398,0.8744884038199181,"{'cls__criterion': 'gini', 'cls__max_depth': 14, 'cls__max_features': 'log2', 'cls__n_estimators': 200, 'cls__random_state': 42}",rf,none,simple,none,none,0.6984235129620309
